,date,event,time,classes,0
0,25.05.2023, חופש שבועות , 0 עד שיעור 14 ,: כל הכיתות,
1,26.05.2023, חופש שבועות , 0 עד שיעור 14 ,: כל הכיתות,
2,21.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
3,22.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
4,23.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
5,24.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
6,25.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
7,26.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
8,27.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
9,28.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
10,29.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
11,30.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
12,01.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
13,02.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
14,03.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
15,04.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
16,05.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
17,06.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
18,07.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
19,08.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
20,09.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
21,10.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
22,11.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
23,12.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
24,13.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
25,14.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
26,15.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
27,16.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
28,17.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
29,18.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
30,19.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
31,20.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
32,21.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
33,22.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
0,25.05.2023, חופש שבועות , 0 עד שיעור 14 ,: כל הכיתות,
1,26.05.2023, חופש שבועות , 0 עד שיעור 14 ,: כל הכיתות,
2,21.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
3,22.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
4,23.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
5,24.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
6,25.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
7,26.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
8,27.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
9,28.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
10,29.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
11,30.06.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
12,01.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
13,02.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
14,03.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
15,04.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
16,05.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
17,06.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
18,07.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
19,08.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
20,09.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
21,10.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
22,11.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
23,12.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
24,13.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
25,14.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
26,15.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
27,16.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
28,17.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
29,18.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
30,19.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
31,20.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
32,21.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
33,22.07.2023, סיום לימודים תשפג , 0 עד שיעור 14 ,: כל הכיתות,
